Region,City,Latitude,Longitude,Season,Rainfall,Temperature,Humidity,SoilMoisture,RiverLevel,WindSpeed,Pressure,PopulationDensity,InfrastructureIndex,PrimaryThreat,RiskLevel
Kerala,Kochi,10.019567496675982,76.31569591332376,Winter,11.2,23.5,23.4,45.9,2.36,9.7,1013.6,11232,7.7,None,Low
West Bengal,Kolkata,22.64972819274433,88.31253372702464,Summer,42.6,44.7,38.7,2.8,1.0,16.0,1003.0,10923,7.3,None,Low
Kerala,Kochi,9.875948694157243,76.22075406972881,Summer,48.6,47.2,23.2,19.2,4.78,17.9,1003.6,9978,8.4,None,Low
Odisha,Bhubaneswar,20.290935548259846,85.75713981431791,Post-Monsoon,300.3,17.6,52.3,73.7,2.81,177.8,975.7,23050,4.6,Cyclone,High
West Bengal,Kolkata,22.56128484048658,88.35555716953085,Winter,47.7,34.0,22.1,18.3,1.25,5.3,1008.7,10653,3.0,None,Low
Delhi,New Delhi,28.623139145606334,77.16503976954577,Summer,25.6,44.0,21.3,11.5,3.47,9.8,1009.1,9866,6.9,None,Low
West Bengal,Kolkata,22.593736029775723,88.30499943809812,Monsoon,303.6,24.7,94.5,88.9,6.98,17.3,1002.8,23181,8.7,None,Low
Kerala,Kochi,9.93069978407455,76.33565036159844,Post-Monsoon,18.8,35.2,73.6,63.3,3.16,5.9,1014.4,16993,5.8,None,Low
West Bengal,Kolkata,22.6483666346799,88.37077485550167,Winter,25.3,26.5,22.9,12.0,2.83,8.7,1007.8,4051,5.3,None,Low
Uttarakhand,Dehradun,30.35038538762578,78.10664704965237,Winter,44.1,10.5,31.7,49.9,2.06,8.4,1007.0,18962,3.8,None,Low
Gujarat,Ahmedabad,23.02733602035336,72.51166429304112,Post-Monsoon,35.0,27.8,20.1,40.0,4.75,7.0,1008.8,8168,5.2,None,Low
West Bengal,Kolkata,22.52499517398435,88.45650391820558,Monsoon,256.8,28.1,72.2,85.7,7.53,5.9,1004.8,8260,4.3,None,Low
Maharashtra,Mumbai,19.147785184517648,72.88762928802888,Post-Monsoon,0.0,22.7,47.4,48.7,1.41,18.2,1014.9,1679,7.4,None,Low
Rajasthan,Jaipur,26.928532225883522,75.80914987270833,Post-Monsoon,10.8,33.4,40.4,35.6,2.33,17.9,1012.2,23349,4.0,None,Low
Odisha,Bhubaneswar,20.28762780151457,85.8120860741073,Winter,46.0,31.4,53.1,64.6,1.91,5.5,1001.5,7234,5.3,None,Low
Tamil Nadu,Chennai,13.090499737547868,80.29701501458182,Winter,21.7,31.4,21.5,12.8,2.48,11.8,1008.2,9034,7.9,None,Low
Gujarat,Ahmedabad,23.03271419656318,72.56249748290202,Post-Monsoon,40.9,26.9,46.3,14.7,3.39,10.1,1010.5,8560,2.0,None,Low
Gujarat,Ahmedabad,22.971291751220217,72.51702538777555,Monsoon,215.4,15.5,99.3,97.3,6.03,7.1,1013.1,19254,7.5,None,Low
Kerala,Kochi,9.901018252516035,76.21889712190615,Winter,23.2,18.9,65.4,71.4,1.76,9.2,1005.6,997,3.5,None,Low
West Bengal,Kolkata,22.632941964579903,88.29885943521056,Post-Monsoon,38.3,36.4,29.2,40.8,2.11,13.7,1009.6,6570,3.4,None,Low
Gujarat,Ahmedabad,22.951852038642905,72.62111194364083,Post-Monsoon,6.2,32.4,58.6,37.7,4.82,9.9,1010.9,18051,6.3,None,Low
Maharashtra,Mumbai,19.15303415619809,72.83130974553715,Summer,48.4,35.2,29.5,19.4,2.29,18.4,1010.0,17338,5.5,None,Low
Assam,Guwahati,26.08354871418955,91.77004196367197,Monsoon,522.7,21.4,97.6,81.1,6.79,10.9,1004.6,9185,6.3,None,Low
West Bengal,Kolkata,22.491942740356205,88.37646735217008,Monsoon,773.7,25.5,76.4,83.2,6.04,5.4,1009.6,21947,3.4,None,Low
Rajasthan,Jaipur,26.842072369170115,75.75882141658627,Post-Monsoon,10.6,33.9,31.8,32.5,2.67,9.7,1007.2,11771,6.8,None,Low
West Bengal,Kolkata,22.64421231671093,88.30228892808304,Monsoon,726.8,14.5,73.8,93.7,5.98,17.3,1000.3,15553,7.6,None,Low
Tamil Nadu,Chennai,13.121163030947773,80.32392895867898,Post-Monsoon,9.9,33.9,69.7,71.6,4.66,9.7,1006.8,11921,4.6,None,Low
Odisha,Bhubaneswar,20.257648366303446,85.91016856099175,Post-Monsoon,35.9,25.1,57.7,63.3,3.53,9.9,1000.7,12164,6.2,None,Low
Odisha,Bhubaneswar,20.28243815231857,85.83035613066424,Winter,17.6,37.9,22.8,79.6,1.84,19.5,1002.4,21387,3.0,None,Low
Kerala,Kochi,9.958011925711931,76.19115309945069,Summer,49.6,41.7,26.0,5.1,2.08,11.9,1013.2,19748,7.9,None,Low
Odisha,Bhubaneswar,20.218083637984247,85.79151644962954,Post-Monsoon,48.5,16.4,28.8,40.4,1.6,13.5,1000.1,14708,9.0,None,Low
Uttarakhand,Dehradun,30.325091641909665,78.11086921674612,Winter,17.6,34.5,37.9,39.4,1.72,11.7,1011.4,24136,8.4,None,Low
Rajasthan,Jaipur,26.892339791957006,75.74453910150031,Post-Monsoon,13.3,15.6,74.1,68.1,4.23,17.3,1002.7,20848,4.6,None,Low
Rajasthan,Jaipur,26.96659893149506,75.81092619408848,Monsoon,169.5,36.5,88.4,85.4,5.32,10.0,1014.9,12556,8.9,None,Low
Odisha,Bhubaneswar,20.210934848487383,85.84857732012966,Post-Monsoon,21.6,36.1,55.0,60.4,3.19,12.4,1005.5,17606,3.9,None,Low
Kerala,Kochi,9.930463393227678,76.16945229053533,Summer,13.1,35.5,21.5,15.2,2.29,18.7,1004.5,17192,8.4,None,Low
Gujarat,Ahmedabad,22.92596429204205,72.61002625476416,Post-Monsoon,18.0,36.7,48.1,69.3,1.03,16.8,1013.1,9209,3.8,None,Low
Gujarat,Ahmedabad,23.01422088950686,72.56478194852951,Summer,16.4,45.4,30.2,18.4,4.77,5.1,1007.2,19745,6.7,None,Low
Delhi,New Delhi,28.616917691544142,77.24379750818272,Summer,17.0,36.9,32.0,10.9,4.95,16.1,1003.3,24581,6.4,None,Low
Delhi,New Delhi,28.53774708865787,77.28796985099999,Summer,46.2,38.8,24.9,10.5,1.07,9.4,1012.3,12121,8.0,None,Low
Tamil Nadu,Chennai,13.09461130794128,80.34830637670439,Summer,23.1,44.1,33.8,15.3,4.84,11.1,1008.8,13231,6.7,None,Low
Assam,Guwahati,26.191650825925855,91.82311913519331,Monsoon,591.0,34.6,75.9,88.4,6.75,6.8,1002.5,7057,7.9,None,Low
Tamil Nadu,Chennai,13.116703561306949,80.18851610304598,Summer,1.0,40.5,23.2,7.3,3.06,9.9,1001.6,8142,2.9,Drought,Moderate
Maharashtra,Mumbai,19.11838138360906,72.97168540569444,Post-Monsoon,14.6,11.2,79.6,30.2,1.25,16.4,1008.0,14988,3.2,None,Low
West Bengal,Kolkata,22.577331488935133,88.28658693164991,Post-Monsoon,320.5,16.8,71.3,14.6,1.94,83.1,961.1,14485,5.1,None,Low
Gujarat,Ahmedabad,22.955442948817005,72.48362334615395,Summer,43.1,47.6,29.4,20.0,2.82,13.7,1013.1,21037,8.3,None,Low
Gujarat,Ahmedabad,23.039620831407053,72.5310950695839,Monsoon,158.7,13.0,85.0,94.2,6.21,10.5,1008.3,1426,4.6,None,Low
Delhi,New Delhi,28.577139831748777,77.26336465489935,Post-Monsoon,11.2,31.5,39.3,15.3,4.49,16.5,1007.6,2959,7.7,None,Low
West Bengal,Kolkata,22.593419239855766,88.41983722400919,Post-Monsoon,27.8,18.0,33.3,66.4,2.75,9.9,1013.9,15093,2.5,None,Low
Tamil Nadu,Chennai,13.090308857838231,80.29659863355226,Summer,19.7,46.0,20.8,10.9,4.11,11.2,1007.8,19518,5.4,None,Low
Uttarakhand,Dehradun,30.226619417070555,78.11213981149375,Summer,34.7,41.2,24.2,14.9,4.55,9.2,1007.2,9323,6.0,None,Low
West Bengal,Kolkata,22.48249396560727,88.27999490462784,Summer,14.5,47.6,21.2,17.3,1.72,19.3,1006.2,16548,6.8,None,Low
Kerala,Kochi,9.837346040118577,76.3165785669002,Summer,30.3,47.8,32.3,11.5,3.38,17.2,1010.8,5148,3.4,None,Low
Uttarakhand,Dehradun,30.27309961645378,77.93278754040111,Monsoon,216.6,25.4,74.2,80.3,6.58,18.1,1011.0,5169,5.6,None,Low
Rajasthan,Jaipur,26.880481817315516,75.81999114924156,Post-Monsoon,41.2,26.2,67.2,72.5,1.98,12.9,1003.1,2981,8.6,None,Low
Uttarakhand,Dehradun,30.237318243889213,78.12082337610738,Post-Monsoon,23.0,20.7,69.6,43.9,2.18,13.1,1001.5,11428,4.6,None,Low
Maharashtra,Mumbai,19.116110047666073,72.8625377484341,Winter,8.4,33.2,66.1,42.2,1.29,16.2,1000.4,12927,7.0,None,Low
West Bengal,Kolkata,22.671906654929508,88.29040216504819,Post-Monsoon,33.7,22.0,72.2,73.9,1.11,7.9,1010.5,17074,7.3,None,Low
Kerala,Kochi,9.856606669668919,76.27408261955046,Winter,3.9,35.6,61.8,53.7,3.79,12.0,1008.7,21935,2.3,None,Low
Assam,Guwahati,26.149019057711406,91.76603484916347,Summer,42.8,37.9,31.0,7.9,1.3,17.5,1011.5,2458,3.0,None,Low
Tamil Nadu,Chennai,13.119420250852333,80.20843443429804,Post-Monsoon,47.5,39.3,70.2,14.6,1.52,13.4,1003.4,20574,6.9,None,Low
Kerala,Kochi,9.952260302921388,76.3197838580448,Monsoon,490.6,33.7,93.8,83.8,7.6,8.2,1006.4,12012,4.9,Flood,High
Uttarakhand,Dehradun,30.34038911040893,78.13210105887966,Winter,25.9,23.4,66.6,34.8,4.61,19.5,1001.8,5100,6.7,None,Low
Uttarakhand,Dehradun,30.386957047849762,77.95845258059886,Post-Monsoon,35.2,25.1,74.4,77.7,2.24,15.9,1002.8,17322,7.2,None,Low
Delhi,New Delhi,28.67838215514658,77.18039464876242,Post-Monsoon,23.4,26.9,76.3,43.9,2.97,6.0,1009.5,18418,2.6,None,Low
Maharashtra,Mumbai,19.05420419777452,72.96660081516217,Summer,20.3,42.7,36.6,18.6,1.35,15.7,1006.2,14649,4.4,None,Low
Odisha,Bhubaneswar,20.377178076648324,85.87087562293728,Summer,43.8,47.1,34.6,7.2,2.44,7.9,1002.6,1469,4.3,None,Low
Uttarakhand,Dehradun,30.360183598002735,78.1237081543536,Monsoon,128.4,19.8,82.4,83.0,5.18,11.3,1003.6,22425,3.3,None,Low
Odisha,Bhubaneswar,20.273542828387175,85.78101734628913,Winter,15.6,13.8,21.9,39.0,2.48,12.3,1005.0,16673,5.4,None,Low
Rajasthan,Jaipur,26.87365897696656,75.75984585789925,Winter,47.2,23.3,24.8,50.3,1.02,7.6,1013.6,4054,5.9,None,Low
Gujarat,Ahmedabad,22.957372766741784,72.47610046622175,Post-Monsoon,25.9,22.8,60.9,49.0,4.64,17.3,1011.2,4877,6.0,None,Low
West Bengal,Kolkata,22.61865393213977,88.3486424999078,Summer,16.9,41.7,13.2,15.8,3.8,9.7,1014.7,15523,6.8,None,Low
West Bengal,Kolkata,22.52123146472231,88.30929238465377,Summer,30.1,40.6,39.0,11.8,4.75,9.1,1012.1,2185,4.8,None,Low
Assam,Guwahati,26.081658691391674,91.73912548206214,Monsoon,703.3,33.9,91.8,88.8,7.47,8.1,1004.0,18541,4.6,Flood,High
Uttarakhand,Dehradun,30.265895108702956,78.03490353593874,Winter,31.7,34.8,71.4,63.8,2.77,14.6,1012.3,3673,8.0,None,Low
Odisha,Bhubaneswar,20.3332656968268,85.72949440135717,Monsoon,421.3,13.2,94.0,91.4,6.38,5.4,1008.0,9463,6.4,None,Low
Assam,Guwahati,26.155431238844848,91.72550579725943,Summer,7.5,42.7,23.5,5.8,2.48,17.4,1013.3,16838,6.9,Drought,Moderate
West Bengal,Kolkata,22.585355174248285,88.45923123005998,Summer,19.0,44.0,23.2,3.5,1.5,8.9,1013.0,2540,6.2,None,Low
Odisha,Bhubaneswar,20.37475762860259,85.84642490155083,Summer,23.9,35.6,26.5,15.5,2.04,14.8,1009.0,12340,6.5,None,Low
Tamil Nadu,Chennai,13.000622949687282,80.27255030248834,Summer,6.2,39.3,27.2,8.6,3.81,6.5,1004.8,20149,8.5,Drought,Moderate
Delhi,New Delhi,28.66529196515234,77.1907853456223,Post-Monsoon,45.4,31.1,47.9,46.3,1.01,16.5,1004.1,14162,6.0,None,Low
Delhi,New Delhi,28.684626499789157,77.29436330335754,Summer,41.0,41.6,30.4,15.9,4.37,8.6,1000.5,24981,4.7,None,Low
Uttarakhand,Dehradun,30.400029178989037,77.95299339507885,Winter,35.2,20.7,38.4,75.1,2.82,14.4,1013.7,2041,6.0,None,Low
Rajasthan,Jaipur,26.920775439160483,75.73528098383251,Summer,21.1,43.2,10.9,13.4,2.19,15.1,1007.3,11268,7.2,None,Low
Kerala,Kochi,9.85965106432481,76.34065970693766,Post-Monsoon,21.6,19.8,48.8,70.9,2.63,19.4,1007.1,3489,3.9,None,Low
Delhi,New Delhi,28.584612258755257,77.16838742565601,Winter,39.1,26.3,59.9,44.8,1.53,19.7,1005.0,3750,7.9,None,Low
Gujarat,Ahmedabad,23.05192930383547,72.51960732899974,Winter,29.6,12.4,24.4,68.5,1.25,16.6,1014.8,5883,8.8,None,Low
Kerala,Kochi,10.028882796689528,76.35622026746192,Post-Monsoon,18.3,16.7,66.4,74.1,2.5,19.8,1011.6,7093,7.7,None,Low
Assam,Guwahati,26.163793472454998,91.68748204038081,Monsoon,325.8,40.0,79.3,95.2,7.21,14.5,1007.9,19211,4.2,Flood,High
Delhi,New Delhi,28.599128852242806,77.11596751499141,Monsoon,164.0,33.4,83.8,93.4,9.81,16.6,1012.9,19465,4.4,None,Low
Assam,Guwahati,26.186211042495085,91.72374821274646,Post-Monsoon,27.3,15.0,78.5,70.1,2.53,8.2,1001.9,21718,8.7,None,Low
Tamil Nadu,Chennai,13.175549994203568,80.27327408655127,Winter,27.5,26.5,49.5,13.9,1.73,9.0,1009.4,14354,8.4,None,Low
Delhi,New Delhi,28.576974417186282,77.26539229209442,Summer,7.1,46.4,10.2,9.6,1.69,9.5,1007.1,3285,3.8,Drought,Moderate
Kerala,Kochi,10.011066792774283,76.29219096059933,Summer,16.5,43.3,24.5,13.4,1.26,13.6,1004.2,17070,3.0,None,Low
Rajasthan,Jaipur,26.900827230287373,75.77257631304167,Summer,13.1,35.6,14.3,19.0,4.76,6.6,1002.1,9083,2.6,None,Low
Kerala,Kochi,9.955015430796314,76.21595312914025,Summer,9.0,39.5,39.9,2.2,2.5,5.3,1004.0,10391,4.0,Drought,Moderate
West Bengal,Kolkata,22.60379825881056,88.29397110673801,Summer,20.1,35.1,39.7,20.0,1.32,10.6,1011.4,21357,7.7,None,Low
Kerala,Kochi,9.850380022736406,76.2871251188165,Winter,7.0,23.4,23.2,37.8,3.76,6.2,1002.4,23595,6.5,None,Low
Odisha,Bhubaneswar,20.21419745668606,85.91051885262256,Monsoon,563.9,12.0,74.8,91.6,8.01,16.5,1010.0,3685,7.7,Flood,Moderate
Uttarakhand,Dehradun,30.293604437126646,78.03019460793955,Post-Monsoon,0.9,10.0,64.5,27.9,4.89,16.2,1012.1,16255,4.6,None,Low
Tamil Nadu,Chennai,13.070620649635284,80.33873085279642,Monsoon,789.6,16.2,70.8,88.9,7.19,18.1,1006.4,3957,7.6,Flood,Moderate
Assam,Guwahati,26.23529680326261,91.81465512387848,Summer,30.5,44.6,33.2,12.8,1.88,17.4,1000.2,9673,2.6,None,Low
Tamil Nadu,Chennai,13.15088891214482,80.26950415991912,Monsoon,529.8,36.2,90.1,91.9,6.79,16.0,1008.0,14703,2.1,None,Low
West Bengal,Kolkata,22.602050379300298,88.37059383505341,Winter,3.5,38.8,34.5,10.7,3.37,6.7,1004.3,14059,4.6,None,Low
Tamil Nadu,Chennai,13.066590794730043,80.32176190678679,Monsoon,790.9,31.9,90.7,94.1,7.5,17.3,1001.8,12772,2.9,Flood,High
West Bengal,Kolkata,22.503885057521742,88.37292607009391,Winter,31.7,20.2,60.5,64.7,1.64,16.7,1012.5,19173,4.7,None,Low
Uttarakhand,Dehradun,30.29886146541721,78.05362901988606,Winter,11.1,13.7,53.8,23.4,4.23,6.8,1000.2,24950,2.8,None,Low
Rajasthan,Jaipur,26.86689622723999,75.85378711056015,Post-Monsoon,17.3,21.8,50.4,15.2,3.35,13.1,1011.7,20794,8.7,None,Low
Delhi,New Delhi,28.543242379350588,77.17160529331349,Post-Monsoon,3.9,39.9,52.0,32.7,2.15,10.1,1010.9,9626,5.4,None,Low
Delhi,New Delhi,28.65844110719327,77.12365604457436,Post-Monsoon,5.5,21.9,25.8,22.0,3.7,6.5,1011.4,19958,4.4,None,Low
West Bengal,Kolkata,22.53350132010387,88.31837440237139,Monsoon,633.9,20.1,70.3,81.1,7.03,16.1,1007.8,22718,8.3,Flood,High
Kerala,Kochi,10.021749134649221,76.360147364189,Summer,46.1,42.2,19.6,11.2,1.51,10.4,1007.5,2439,8.8,None,Low
Rajasthan,Jaipur,26.92090756460978,75.78932144547464,Monsoon,333.3,26.2,85.5,93.1,5.29,5.6,1007.2,9194,6.2,None,Low
Assam,Guwahati,26.088557734176412,91.75294426945074,Winter,6.2,28.9,56.3,33.9,2.23,7.8,1001.6,14239,2.1,None,Low
Uttarakhand,Dehradun,30.341792530877953,78.07523361100677,Winter,36.6,38.5,27.6,43.7,1.57,14.5,1006.1,8337,7.2,None,Low
West Bengal,Kolkata,22.664927373954782,88.44361192638468,Winter,8.1,18.9,51.5,51.1,1.48,16.5,1012.2,9735,4.2,None,Low
Assam,Guwahati,26.164396790883707,91.72177458600366,Post-Monsoon,23.9,16.2,65.9,25.0,3.6,17.5,1006.7,17471,5.1,None,Low
Maharashtra,Mumbai,18.98988261385286,72.86046926355927,Post-Monsoon,27.5,29.2,65.4,50.3,4.66,17.9,1003.4,19189,2.6,None,Low
Odisha,Bhubaneswar,20.36652268846906,85.7519123104554,Winter,11.2,39.3,29.1,53.6,4.52,16.6,1011.9,8550,2.3,None,Low
Odisha,Bhubaneswar,20.32055587695824,85.74776789603439,Monsoon,612.3,14.8,72.0,84.1,6.79,7.1,1007.0,8995,3.3,None,Low
Gujarat,Ahmedabad,23.040885553937482,72.5823349086644,Winter,4.2,40.0,74.3,66.5,2.5,17.5,1014.8,2277,2.5,None,Low
Assam,Guwahati,26.153490686911233,91.76823995572907,Monsoon,759.2,31.6,98.9,86.0,6.4,11.6,1006.1,11322,6.6,None,Low
